2026-07-27 23:06:19,586 | INFO | loader | PDF Loaded 2 pages from data/gen ai resume.pdf
2026-07-27 23:06:19,587 | INFO | chunker | Created 1 chunks
2026-07-27 23:06:19,587 | INFO | chunker | Created 2 chunks
2026-07-27 23:06:19,587 | INFO | chunker | Created 3 chunks
2026-07-27 23:06:19,587 | INFO | chunker | Created 4 chunks
2026-07-27 23:06:19,587 | INFO | chunker | Created 5 chunks
2026-07-27 23:06:19,587 | INFO | chunker | Created 6 chunks
2026-07-27 23:06:19,587 | INFO | chunker | Created 7 chunks
2026-07-27 23:06:19,587 | INFO | chunker | Created 8 chunks
2026-07-27 23:06:19,666 | INFO | model | No device provided, using mps
2026-07-27 23:06:20,327 | INFO | _client | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-07-27 23:06:20,328 | WARNING | _http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-27 23:06:20,409 | INFO | _client | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/modules.json "HTTP/1.1 200 OK"
2026-07-27 23:06:20,939 | INFO | _client | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-07-27 23:06:21,011 | INFO | _client | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-07-27 23:06:21,015 | INFO | model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-27 23:06:21,158 | INFO | _client | HTTP Request: GET https://7a2e277f-2faf-4911-8a54-e503b38c233e.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-07-27 23:06:21,313 | INFO | _client | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-07-27 23:06:21,374 | INFO | _client | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-07-27 23:06:21,792 | INFO | _client | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
